date;time;global_active_power;global_reactive_power;voltage;global_intensity;sub_metering_1;sub_metering_2;sub_metering_3
01/01/2024;00:00:00;1.3457075619631647;0.2018561342944747;229.48409581351788;6.7285378098158235;134.57075619631647;107.65660495705318;80.74245371778989
01/01/2024;00:01:00;1.1440023840639257;0.17160035760958886;229.40102821841677;5.720011920319629;114.40023840639257;91.52019072511406;68.64014304383555
01/01/2024;00:02:00;1.4125676793709687;0.2118851519056453;228.6066801749891;7.062838396854843;141.25676793709687;113.0054143496775;84.75406076225812
01/01/2024;00:03:00;1.4410847074586821;0.2161627061188023;230.85696585731168;7.20542353729341;144.1084707458682;115.28677659669457;86.46508244752093
01/01/2024;00:04:00;1.0073447217019247;0.1511017082552887;230.4692923754095;5.036723608509623;100.73447217019248;80.58757773615397;60.44068330211548
01/01/2024;00:05:00;1.1046730739706523;0.16570096109559784;226.81870060346117;5.523365369853261;110.46730739706523;88.37384591765218;66.28038443823914
01/01/2024;00:06:00;1.3191760604750928;0.19787640907126391;226.6969480095213;6.595880302375464;131.91760604750928;105.53408483800743;79.15056362850557
01/01/2024;00:07:00;1.2525636111484628;0.18788454167226942;230.8493689064115;6.262818055742314;125.25636111484629;100.20508889187703;75.15381666890777
01/01/2024;00:08:00;1.2974798263743568;0.19462197395615352;228.36942714241093;6.487399131871784;129.74798263743568;103.79838610994854;77.84878958246141
01/01/2024;00:09:00;1.172043410863963;0.17580651162959446;230.60408231020065;5.860217054319815;117.2043410863963;93.76347286911704;70.32260465183778
01/01/2024;00:10:00;1.4319096962294244;0.21478645443441366;231.56186315621838;7.159548481147122;143.19096962294245;114.55277569835395;85.91458177376546
01/01/2024;00:11:00;1.4166687903143422;0.21250031854715132;227.45809432518888;7.083343951571711;141.66687903143423;113.33350322514738;85.00012741886053
01/01/2024;00:12:00;1.3099046046341825;0.19648569069512736;227.17692549084762;6.549523023170912;130.99046046341826;104.7923683707346;78.59427627805094
01/01/2024;00:13:00;1.469086181045205;0.22036292715678074;233.3488633647906;7.345430905226024;146.90861810452049;117.52689448361639;88.14517086271229
01/01/2024;00:14:00;1.370126401337807;0.20551896020067104;230.7031415659249;6.850632006689034;137.0126401337807;109.61011210702455;82.20758408026842
01/01/2024;00:15:00;1.1711061305675143;0.17566591958512714;229.16151868665347;5.8555306528375715;117.11061305675143;93.68849044540114;70.26636783405085
01/01/2024;00:16:00;1.3553126176123749;0.20329689264185621;228.13211909470746;6.776563088061875;135.5312617612375;108.42500940899;81.3187570567425
01/01/2024;00:17:00;1.1561676098756501;0.17342514148134752;228.97911830218544;5.780838049378251;115.61676098756502;92.49340879005202;69.37005659253902
01/01/2024;00:18:00;1.431767545196091;0.21476513177941364;227.6188553277734;7.1588377259804545;143.1767545196091;114.54140361568727;85.90605271176545
01/01/2024;00:19:00;1.2925111133520621;0.1938766670028093;231.7668243481812;6.462555566760311;129.25111133520622;103.40088906816497;77.55066680112373
01/01/2024;00:20:00;1.272270645468211;0.19084059682023163;228.44649769278735;6.361353227341055;127.22706454682108;101.78165163745687;76.33623872809265
